Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418450560768,-575,-524,-1723,-1,-6,3,-220083587,-608275357,856595579,27015279,24931
1418450560770,-577,-519,-1736,-2,-8,3,-220073465,-608264999,856605166,27026971,24936
1418450560770,-581,-517,-1745,-4,-8,3,-220065821,-608253465,856614829,27042511,24941
1418450560803,-573,-514,-1742,-6,-9,3,-220058938,-608240631,856625041,27063693,24946
1418450560803,-578,-522,-1735,-7,-10,3,-220050623,-608227292,856635846,27089062,24952
1418450560805,-583,-512,-1736,-9,-10,2,-220046783,-608214948,856644617,27120042,24957
1418450560805,-577,-522,-1738,-13,-12,1,-220044562,-608202217,856652877,27162618,24962
1418450560808,-585,-521,-1730,-13,-12,1,-220042329,-608189701,856660942,27206573,24967
1418450560808,-577,-515,-1737,-14,-12,1,-220042773,-608176348,856668858,27252173,24972
1418450560810,-574,-518,-1732,-13,-10,1,-220044708,-608163920,856675911,27292173,24977
1418450560810,-578,-521,-1750,-11,-12,2,-220039071,-608150295,856685800,27330786,24982
1418450560842,-571,-527,-1742,-10,-11,0,-220033631,-608141918,856692002,27366555,24987
1418450560843,-573,-522,-1737,-10,-10,0,-220030605,-608133769,856697436,27401825,24992
1418450560845,-569,-518,-1728,-9,-11,0,-220023788,-608126020,856703600,27435818,24998
1418450560845,-572,-520,-1730,-9,-9,-2,-220021209,-608122995,856705389,27467678,25003
1418450560847,-572,-514,-1750,-8,-9,-1,-220017389,-608118223,856708828,27496626,25008
1418450560848,-568,-520,-1736,-8,-9,1,-220012363,-608108968,856715820,27523681,25013
1418450560850,-568,-515,-1742,-10,-7,-1,-220015691,-608103298,856718009,27554178,25018
1418450560850,-565,-520,-1749,-10,-6,0,-220020763,-608095423,856721403,27581932,25023
1418450560875,-564,-520,-1744,-8,-4,1,-220026932,-608086729,856725345,27601949,25028
1418450560875,-562,-520,-1740,-6,-4,0,-220029937,-608081482,856727778,27618083,25033
1418450560901,-572,-536,-1743,-4,-2,2,-220034424,-608073014,856732400,27625402,25038
1418450560901,-565,-533,-1739,1,1,1,-220037082,-608069781,856734202,27619497,25044
1418450560904,-564,-538,-1736,4,1,-1,-220034099,-608072995,856733053,27608151,25049
1418450560904,-567,-532,-1735,5,2,-2,-220032078,-608079189,856729629,27594074,25054
1418450560906,-570,-524,-1734,6,4,-3,-220032871,-608088282,856723609,27574272,25059
1418450560906,-572,-530,-1730,8,4,-3,-220030241,-608098419,856717905,27548923,25064
1418450560909,-569,-524,-1725,7,4,-3,-220029989,-608107937,856711940,27526334,25069
1418450560909,-569,-515,-1730,9,5,-1,-220028516,-608114143,856708885,27496055,25074
1418450560911,-569,-527,-1740,8,4,-1,-220025568,-608119664,856706598,27468777,25079
1418450560911,-571,-528,-1738,8,3,-2,-220020540,-608127530,856703073,27444832,25084
1418450560944,-585,-528,-1745,6,3,-1,-220019170,-608131889,856700971,27424841,25090
1418450560944,-569,-526,-1732,6,2,-1,-220016457,-608135881,856699455,27405438,25095
1418450560946,-569,-521,-1733,6,1,0,-220010581,-608137815,856700146,27388099,25100
1418450560946,-570,-514,-1750,6,2,1,-220006697,-608137515,856701997,27368065,25105
1418450560949,-570,-520,-1738,4,1,1,-220002593,-608136005,856704592,27353362,25110
1418450560949,-568,-519,-1739,1,0,1,-220002032,-608132631,856707309,27347790,25115
1418450560951,-565,-523,-1724,1,0,2,-220001249,-608127024,856711685,27341672,25120
1418450560951,-575,-523,-1731,2,0,1,-219999483,-608124292,856714305,27334559,25125
1418450560974,-576,-530,-1730,1,0,2,-219999983,-608118495,856718488,27328391,25130
1418450560974,-572,-537,-1735,-1,-2,1,-219998050,-608114262,856721971,27328955,25136
1418450560976,-573,-528,-1732,-1,-3,-1,-219993525,-608114689,856722693,27333252,25141
1418450560976,-579,-524,-1735,-1,-4,0,-219990361,-608112150,856725147,27338307,25146
1418450560979,-570,-525,-1723,-1,-4,-3,-219987130,-608116303,856722838,27344279,25151
1418450560979,-567,-521,-1734,-3,-5,-2,-219984756,-608117081,856722500,27356657,25156
1418450561011,-569,-519,-1736,-4,-6,0,-219980803,-608112749,856726115,27371514,25161
1418450561011,-582,-521,-1729,-7,-4,0,-219986232,-608106755,856728397,27389620,25166
1418450561016,-577,-520,-1747,-9,-5,-1,-219994199,-608101454,856729341,27413800,25171
1418450561016,-580,-522,-1739,-10,-7,-2,-219997748,-608097924,856729961,27444224,25176
1418450561019,-588,-521,-1729,-11,-8,-1,-220001496,-608091343,856732588,27477983,25182
1418450561019,-579,-518,-1731,-12,-9,0,-220005808,-608081560,856737254,27514437,25187
1418450561021,-573,-522,-1745,-10,-9,0,-220005769,-608073156,856742194,27546647,25192
1418450561021,-578,-523,-1738,-13,-6,-2,-220016309,-608068028,856741966,27582737,25197
1418450561054,-580,-521,-1741,-13,-8,-2,-220023142,-608062595,856742807,27621835,25203
1418450561054,-573,-524,-1746,-15,-9,0,-220030986,-608051307,856747393,27665571,25207
1418450561056,-570,-516,-1719,-14,-10,2,-220034379,-608036182,856755878,27708217,25212
1418450561056,-570,-524,-1728,-12,-10,4,-220035213,-608017523,856767725,27744706,25217
1418450561058,-576,-525,-1724,-12,-13,3,-220029195,-608001024,856779596,27787355,25222
1418450561059,-580,-528,-1742,-13,-10,5,-220032597,-607979432,856792793,27825934,25228
1418450561061,-576,-532,-1725,-12,-10,5,-220034057,-607958453,856806129,27862117,25233
1418450561061,-576,-540,-1731,-10,-11,3,-220030562,-607943151,856816738,27897296,25238
1418450561084,-580,-538,-1734,-9,-11,3,-220025664,-607928518,856827283,27930927,25243
1418450561084,-575,-541,-1742,-8,-9,4,-220023878,-607912243,856838408,27957941,25248
1418450561086,-573,-542,-1718,-6,-8,2,-220020332,-607901964,856845874,27980535,25253
1418450561086,-566,-541,-1732,-4,-6,0,-220019012,-607897478,856848861,27996880,25258
1418450561088,-572,-532,-1731,-1,-3,1,-220018373,-607892937,856852104,28001244,25263
1418450561089,-573,-532,-1747,1,1,1,-220021368,-607889585,856853921,27994882,25268
1418450561121,-567,-534,-1741,6,0,2,-220013374,-607886879,856858446,27977977,25274
1418450561121,-566,-534,-1744,7,0,2,-220003634,-607884880,856862969,27959457,25279
1418450561123,-558,-523,-1741,6,2,2,-219999844,-607882487,856866273,27940043,25284
1418450561124,-562,-533,-1732,7,2,2,-219993155,-607880787,856869919,27917863,25289
1418450561126,-564,-533,-1746,6,3,2,-219991808,-607878489,856872572,27897108,25294
1418450561126,-562,-527,-1742,4,2,2,-219990917,-607874981,856875771,27882316,25299
1418450561128,-562,-525,-1739,4,4,4,-219994372,-607867045,856881151,27862700,25304
1418450561129,-571,-528,-1742,5,3,3,-219993869,-607861874,856885594,27842838,25309
1418450561161,-574,-529,-1717,5,2,4,-219992025,-607854167,856892158,27823653,25315
1418450561161,-574,-533,-1736,6,2,5,-219990191,-607844549,856900166,27801648,25320
1418450561163,-572,-531,-1735,5,1,3,-219986874,-607838976,856905511,27785002,25325
